Frecuencia,Parte Real,Parte Imaginaria
8.055556,-19650.785530,-14322.374661
8.069444,-21783.870940,2672.685308
8.083333,-3926.628976,25275.531477
8.097222,11982.650636,48436.506630
8.111111,17877.277222,-8013.456544
8.125000,-38752.565016,-19490.906775
8.138889,-43911.277750,45618.047226
8.152778,30372.268386,42390.297730
8.166667,16089.980864,-45241.079846
8.180556,-10324.115370,9283.517729
8.194444,-67596.672544,13202.456063
8.208333,-1072.896347,7828.496691
8.222222,-13519.592065,-38111.165249
8.236111,-15459.508828,21616.788418
8.250000,-13150.997014,53409.977673
8.263889,34902.396175,-15531.916253
8.277778,9092.579685,-53624.571202
8.291667,-23549.251987,-33502.792418
8.305556,-43710.122155,14305.904532
8.319444,4308.204919,33962.542425
8.333333,24922.375243,12178.914253
8.347222,-20640.277519,8051.983128
8.361111,-3306.849396,-24871.485115
8.375000,-367.672395,-45073.821810
8.388889,5069.601239,-5426.165939
8.402778,-8905.930725,17338.720547
8.416667,-503.371492,-29680.767495
8.430556,-9544.361711,-44258.931844
8.444444,-1888.389077,-888.549968
8.458333,-24338.495322,65498.712346
8.472222,48641.428636,-490.850470
8.486111,2901.242608,-45209.567437
8.500000,13988.150966,9014.679716
8.513889,-32955.147501,-81.390309
8.527778,-2607.046873,18436.532763
8.541667,17143.575663,-37474.427116
8.555556,35600.855314,21067.082071
8.569444,-2868.131440,5635.484548
8.583333,4787.169139,1158.848666
8.597222,31629.975440,-9826.986981
8.611111,10659.621506,-22590.360538
8.625000,-17281.484884,36849.185542
8.638889,48717.187857,4544.109250
8.652778,40469.911630,-41569.069181
8.666667,-24655.554028,-11459.195174
8.680556,-84832.226852,43177.620489
8.694444,43574.806283,51948.809673
8.708333,65233.920641,-19117.246809
8.722222,7726.354616,-37202.772354
8.736111,-40439.006755,22342.334937
8.750000,-19672.627857,19287.629992
8.763889,71047.677580,34580.829265
8.777778,32818.749435,-6509.761256
8.791667,-12149.009467,-28912.156590
8.805556,-23086.036387,-18337.862057
8.819444,-11433.037438,60027.198516
8.833333,31829.200648,65961.223493
8.847222,44462.960633,-21716.178097
8.861111,-26158.715056,-11819.214595
8.875000,-11853.094009,10377.067566
8.888889,-34344.804124,-36197.802796
